Final Test Accuracy: 0.7774
----------------------------------------
Epoch	Train Loss	Val Loss
1	0.480689	0.480910
2	0.480688	0.480908
3	0.480686	0.480906
4	0.480684	0.480904
5	0.480682	0.480902
6	0.480681	0.480900
7	0.480679	0.480898
8	0.480677	0.480895
9	0.480676	0.480893
10	0.480674	0.480891
11	0.480672	0.480889
12	0.480671	0.480887
13	0.480669	0.480885
14	0.480667	0.480883
15	0.480666	0.480881
16	0.480664	0.480879
17	0.480662	0.480877
18	0.480661	0.480875
19	0.480659	0.480873
20	0.480657	0.480871
21	0.480656	0.480869
22	0.480654	0.480866
23	0.480652	0.480864
24	0.480651	0.480862
25	0.480649	0.480860
26	0.480647	0.480858
27	0.480646	0.480856
28	0.480644	0.480854
29	0.480642	0.480852
30	0.480641	0.480850
31	0.480639	0.480848
32	0.480637	0.480846
33	0.480636	0.480844
34	0.480634	0.480842
35	0.480632	0.480840
36	0.480630	0.480838
37	0.480629	0.480836
38	0.480627	0.480834
39	0.480625	0.480832
40	0.480624	0.480830
41	0.480622	0.480828
42	0.480620	0.480826
43	0.480618	0.480824
44	0.480617	0.480822
45	0.480615	0.480820
46	0.480613	0.480818
47	0.480612	0.480816
48	0.480610	0.480814
49	0.480608	0.480812
50	0.480607	0.480810
51	0.480605	0.480808
52	0.480603	0.480806
53	0.480602	0.480804
54	0.480600	0.480802
55	0.480599	0.480800
56	0.480597	0.480798
57	0.480595	0.480796
58	0.480594	0.480794
59	0.480592	0.480792
60	0.480590	0.480790
61	0.480589	0.480789
62	0.480587	0.480787
63	0.480586	0.480785
64	0.480584	0.480783
65	0.480582	0.480781
66	0.480581	0.480779
67	0.480579	0.480777
68	0.480578	0.480776
69	0.480576	0.480774
70	0.480574	0.480772
71	0.480573	0.480770
72	0.480571	0.480768
73	0.480570	0.480767
74	0.480568	0.480765
75	0.480567	0.480763
76	0.480565	0.480761
77	0.480563	0.480760
78	0.480562	0.480758
79	0.480560	0.480756
80	0.480559	0.480754
81	0.480557	0.480753
82	0.480556	0.480751
83	0.480554	0.480749
84	0.480552	0.480747
85	0.480551	0.480746
86	0.480549	0.480744
87	0.480548	0.480742
88	0.480546	0.480740
89	0.480545	0.480739
90	0.480543	0.480737
91	0.480542	0.480735
92	0.480540	0.480734
93	0.480539	0.480732
94	0.480537	0.480730
95	0.480535	0.480728
96	0.480534	0.480727
97	0.480532	0.480725
98	0.480531	0.480723
99	0.480529	0.480722
100	0.480528	0.480720
101	0.480526	0.480718
102	0.480525	0.480716
103	0.480523	0.480715
104	0.480521	0.480713
105	0.480520	0.480711
106	0.480518	0.480710
107	0.480517	0.480708
